Kingdom	Phylum	Class	Order	Family	Genus	Species	nr_genomes	PhaC_gene	PhaC_status
Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Blfdi19	Blfdi19	Blfdi19	NA	NA	NA	Unknown
Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	Bradymonadales	Bradymonadales	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Genus of Polyangiaceae	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	NA	1	NA	NO
Bacteria	Myxococcota	Polyangia	Polyangiales	Phaselicystidaceae	Phaselicystis	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinus	NA	4	YES	YES
Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Genus of Sandaracinaceae	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	mle1-27	mle1-27	mle1-27	NA	NA	NA	Unknown
Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA	46	NA	NO
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA	NA	NA	Unknown
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Genus of Myxococcaceae	NA	NA	NA	Unknown
Bacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	NA	NA	NA	Unknown
Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	NA	46	NA	NO
Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA	1	NA	NO
Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Genus of Nannocystaceae	NA	NA	NA	Unknown
Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis	NA	13	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Family of Micavibrionales	Genus of Micavibrionales	NA	NA	NA	Unknown
Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA	43	NA	NO
Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	NA	39	NA	NO
Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Family of Oligoflexales	Genus of Oligoflexales	NA	NA	NA	Unknown
Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Pseudarcobacter	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	44	NA	NO
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA	35	NA	NO
Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Genus of Bacteriovoracaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Genus of Rickettsiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Family of Rhodospirillales	Genus of Rhodospirillales	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	Genus of Micavibrionaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Candidatus_Paracaedibacter	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	Genus of Paracaedibacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	NA	122	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Genus of Rhodospirillaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Genus of Micropepsaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	48	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Genus of Acetobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella	NA	5	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	NA	30	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Order of Alphaproteobacteria	Family of Alphaproteobacteria	Genus of Alphaproteobacteria	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	Genus of Holosporaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter	NA	2	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	NA	27	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA	386	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhapis	NA	5	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Genus of Sphingomonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	207	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	471	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingosinicella	NA	11	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	914	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA	NA	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Genus of Rhizobiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	NA	1430	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	203	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Genus of Rhizobiales_Incertae_Sedis	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	NA	31	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	NA	58	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Genus of Rhodobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	NA	295	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Defluviimonas	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Novispirillum	NA	2	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	NA	215	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	NA	7	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	UKL13-1	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	NA	66	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	569	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Genus of Caulobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	151	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA	321	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	NA	173	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Genus of Beijerinckiaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI_cluster	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Phreatobacter	NA	17	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Genus of Pleomorphomonadaceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Prosthecomicrobium	NA	1	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA	1389	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Genus of Xanthobacteraceae	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	NA	77	YES	YES
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Family of Rhizobiales	Genus of Rhizobiales	NA	NA	NA	Unknown
Bacteria	Bdellovibrionota	Oligoflexia	053A03-B-DI-P58	053A03-B-DI-P58	053A03-B-DI-P58	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Megaira	NA	NA	NA	Unknown
Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	55	NA	NO
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Genus of Intrasporangiaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Genus of Microbacteriaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Family of Micrococcales	Genus of Micrococcales	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	NA	276	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	NA	11924	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	PeM15	PeM15	PeM15	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Order of Actinobacteria	Family of Actinobacteria	Genus of Actinobacteria	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	Longivirga	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	560	YES	YES
Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	60	NA	NO
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Candidatus_Microthrix	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Genus of Microtrichaceae	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	NA	22	NA	NO
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	10	NA	NO
Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	NA	24	NA	NO
Bacteria	Actinobacteriota	Acidimicrobiia	Order of Acidimicrobiia	Family of Acidimicrobiia	Genus of Acidimicrobiia	NA	NA	NA	Unknown
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Family of Gaiellales	Genus of Gaiellales	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Subgroup_7	Subgroup_7	Subgroup_7	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Geothrix	NA	187	NA	NO
Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophagaceae	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum	NA	19	NA	NO
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_7	NA	NA	NA	Unknown
Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter	NA	143	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	NA	14	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	NA	2	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Acidaminobacteraceae	Acidaminobacter	NA	2	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA	23	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	172	NA	NO
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Proteocatella	NA	7	NA	NO
Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionales	Taonella	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	NA	NA	NA	Unknown
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Genus of Acidaminococcaceae	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	21852	YES	YES
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	NA	43	NA	NO
Bacteria	Firmicutes	Bacilli	Lactobacillales	Family of Lactobacillales	Genus of Lactobacillales	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	NA	334	NA	NO
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	10181	YES	YES
Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	NA	259	YES	YES
Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA	84	NA	NO
Bacteria	Elusimicrobiota	Elusimicrobia	MVP-88	MVP-88	MVP-88	NA	NA	NA	Unknown
Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA	5	NA	NO
Bacteria	Proteobacteria	Gammaproteobacteria	Order of Gammaproteobacteria	Family of Gammaproteobacteria	Genus of Gammaproteobacteria	NA	NA	NA	Unknown
Bacteria	FCPU426	FCPU426	FCPU426	FCPU426	FCPU426	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	DS-100	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	11-24	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI_0001001-H03	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Genus of Blastocatellaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	222	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Genus of Verrucomicrobiaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Brevifollis	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	NA	111	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	30	NA	NO
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV114	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV008	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Genus of Pedosphaeraceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Pla1_lineage	Pla1_lineage	Pla1_lineage	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaeraceae	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Class of Planctomycetota	Order of Planctomycetota	Family of Planctomycetota	Genus of Planctomycetota	NA	NA	NA	Unknown
Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	NA	NA	NA	Unknown
Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA	NA	NA	Unknown
Bacteria	Planctomycetota	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Genus of Pirellulaceae	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	46	NA	NO
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA	74	NA	NO
Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Planctopirus	NA	6	NA	NO
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Family of Planctomycetales	Genus of Planctomycetales	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Genus of Rubinisphaeraceae	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	NA	4	NA	NO
Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Genus of Gemmataceae	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_17	Subgroup_17	Subgroup_17	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Family of Vicinamibacterales	Genus of Vicinamibacterales	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Genus of Vicinamibacteraceae	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	NA	NA	NA	Unknown
